,date,pair,rolling_correlation
238,2017-12-12,rolling_corr_BTC_SPY_30,0.2049120013127236
239,2017-12-13,rolling_corr_BTC_SPY_30,0.2121143580790435
240,2017-12-14,rolling_corr_BTC_SPY_30,0.24582429477931142
241,2017-12-15,rolling_corr_BTC_SPY_30,0.21144177407266748
242,2017-12-18,rolling_corr_BTC_SPY_30,0.17400730636886272
243,2017-12-19,rolling_corr_BTC_SPY_30,0.19112006802963147
244,2017-12-20,rolling_corr_BTC_SPY_30,0.19018814417562147
245,2017-12-21,rolling_corr_BTC_SPY_30,0.1733694293754154
246,2017-12-22,rolling_corr_BTC_SPY_30,0.19978664068903682
247,2017-12-26,rolling_corr_BTC_SPY_30,0.20073374141495115
248,2017-12-27,rolling_corr_BTC_SPY_30,0.18471366441184153
249,2017-12-28,rolling_corr_BTC_SPY_30,0.22366242929206315
250,2017-12-29,rolling_corr_BTC_SPY_30,0.26550713225248773
251,2018-01-02,rolling_corr_BTC_SPY_30,0.16186606067759857
252,2018-01-03,rolling_corr_BTC_SPY_30,0.2350940511087461
253,2018-01-04,rolling_corr_BTC_SPY_30,0.23732809160091248
254,2018-01-05,rolling_corr_BTC_SPY_30,0.22046041820467535
255,2018-01-08,rolling_corr_BTC_SPY_30,0.2067982713544737
256,2018-01-09,rolling_corr_BTC_SPY_30,0.20137575508843414
257,2018-01-10,rolling_corr_BTC_SPY_30,0.2367887372891827
258,2018-01-11,rolling_corr_BTC_SPY_30,0.22650347807350876
259,2018-01-12,rolling_corr_BTC_SPY_30,0.14771448084291106
260,2018-01-16,rolling_corr_BTC_SPY_30,0.16999817799246425
261,2018-01-17,rolling_corr_BTC_SPY_30,0.013140266164394867
262,2018-01-18,rolling_corr_BTC_SPY_30,0.031954960215038616
263,2018-01-19,rolling_corr_BTC_SPY_30,0.053920088941700646
264,2018-01-22,rolling_corr_BTC_SPY_30,-0.003204574206862486
265,2018-01-23,rolling_corr_BTC_SPY_30,-0.0126921474144814
266,2018-01-24,rolling_corr_BTC_SPY_30,-0.11838869193607743
267,2018-01-25,rolling_corr_BTC_SPY_30,-0.13498633247019484
268,2018-01-26,rolling_corr_BTC_SPY_30,-0.12769377728676579
269,2018-01-29,rolling_corr_BTC_SPY_30,-0.15683585346323145
270,2018-01-30,rolling_corr_BTC_SPY_30,-0.1117635763274838
271,2018-01-31,rolling_corr_BTC_SPY_30,-0.12055885209825393
272,2018-02-01,rolling_corr_BTC_SPY_30,-0.14152464182004806
273,2018-02-02,rolling_corr_BTC_SPY_30,0.07792579580876463
274,2018-02-05,rolling_corr_BTC_SPY_30,0.23228818579898716
275,2018-02-06,rolling_corr_BTC_SPY_30,0.08988809606815237
276,2018-02-07,rolling_corr_BTC_SPY_30,0.04487823925204628
277,2018-02-08,rolling_corr_BTC_SPY_30,0.028179192571513585
278,2018-02-09,rolling_corr_BTC_SPY_30,0.08847655169072037
279,2018-02-12,rolling_corr_BTC_SPY_30,0.07035868676076233
280,2018-02-13,rolling_corr_BTC_SPY_30,0.07454184544239192
281,2018-02-14,rolling_corr_BTC_SPY_30,0.06711526923992939
282,2018-02-15,rolling_corr_BTC_SPY_30,0.09863850604891483
283,2018-02-16,rolling_corr_BTC_SPY_30,0.09073186393598899
284,2018-02-20,rolling_corr_BTC_SPY_30,0.06540128163386014
285,2018-02-21,rolling_corr_BTC_SPY_30,0.06448734113010571
286,2018-02-22,rolling_corr_BTC_SPY_30,0.06609497720471821
287,2018-02-23,rolling_corr_BTC_SPY_30,0.04376761723651889
288,2018-02-26,rolling_corr_BTC_SPY_30,0.035368967854632054
289,2018-02-27,rolling_corr_BTC_SPY_30,0.01774666351276835
290,2018-02-28,rolling_corr_BTC_SPY_30,0.007593305928354812
291,2018-03-01,rolling_corr_BTC_SPY_30,0.06557079922748643
292,2018-03-02,rolling_corr_BTC_SPY_30,0.07749311175231319
293,2018-03-05,rolling_corr_BTC_SPY_30,0.07782083097634053
294,2018-03-06,rolling_corr_BTC_SPY_30,0.10737787409228877
295,2018-03-07,rolling_corr_BTC_SPY_30,0.11276195003465089
296,2018-03-08,rolling_corr_BTC_SPY_30,0.09693934805382674
297,2018-03-09,rolling_corr_BTC_SPY_30,0.06092045229954036
298,2018-03-12,rolling_corr_BTC_SPY_30,0.06348855157715372
299,2018-03-13,rolling_corr_BTC_SPY_30,0.07467567896059081
300,2018-03-14,rolling_corr_BTC_SPY_30,0.06300035084699854
301,2018-03-15,rolling_corr_BTC_SPY_30,0.06805335290609477
302,2018-03-16,rolling_corr_BTC_SPY_30,0.06927566794440382
303,2018-03-19,rolling_corr_BTC_SPY_30,-0.022949011605184505
304,2018-03-20,rolling_corr_BTC_SPY_30,-0.2198498888301305
305,2018-03-21,rolling_corr_BTC_SPY_30,-0.10857527582127238
306,2018-03-22,rolling_corr_BTC_SPY_30,-0.06664450040789964
307,2018-03-23,rolling_corr_BTC_SPY_30,-0.09457324383795053
308,2018-03-26,rolling_corr_BTC_SPY_30,-0.17512714023421883
309,2018-03-27,rolling_corr_BTC_SPY_30,-0.0958593447892812
310,2018-03-28,rolling_corr_BTC_SPY_30,-0.11088083645364982
311,2018-03-29,rolling_corr_BTC_SPY_30,-0.06677345105799518
312,2018-04-02,rolling_corr_BTC_SPY_30,-0.14532260525617557
313,2018-04-03,rolling_corr_BTC_SPY_30,-0.11833827423867535
